Designed Requirement ID	Test Case ID	Test Item	Test Case Title	Automated scripts	Realize the function	Switch	Result	Reason
PV-289	R.ROCE.F001.A	ST-ROCE-1	RDMA operations in user space	RDMA操作类型混合随机，双向收发数据，相同操作数据包长不同	codecase.sh	codecase0	off	
#N/A		ST-ROCE-2		RDMA操作混合随机，双向互发数据，发送数据包长随机	codecase.sh	codecase1	off	
#N/A		ST-ROCE-3		RDMA send混合包长，双向发送数据	codecase.sh	codecase2	off	
#N/A		ST-ROCE-4		带立即数的RDMA send操作，双向发送数据	codecase.sh	codecase3	off	
#N/A		ST-ROCE-5		RDMA read操作，双向发送数据	codecase.sh	codecase4	off	
#N/A		ST-ROCE-6		RDMA write操作，双向发送数据	codecase.sh	codecase5	off	
#N/A		ST-ROCE-7		带立即数的RDMA write操作测试，双向发送数据	codecase.sh	codecase6	off	
#N/A		ST-ROCE-8		send超时重传测试	codecase.sh	codecase7	off	
#N/A		ST-ROCE-9		RDMA read超时重传测试，双向发送数据	codecase.sh	codecase8	off	
#N/A		ST-ROCE-10		RDMA write超时重传测试，双向发送数据	codecase.sh	codecase9	off	
#N/A		ST-ROCE-11		send rnr定时检测操作，server端发送数据	codecase.sh	codecase10	off	
#N/A		ST-ROCE-12		带立即数的send定时检测测试，server端发送数据	codecase.sh	codecase11	off	
#N/A		ST-ROCE-13		RDMA write、read、send混合操作测试，va递增，数据包长随机，双向发送数据	codecase.sh	codecase12	off	
#N/A		ST-ROCE-14	支持Solicited Event	本端，对端配置CQ为solicited event模式，本端提交opcode的WR（WR的长度<=MTU），第一次为send操作，server将两端需要发送的数据发送到client端，然后mix通过随机数组选择具体操作类型，本端WQE设置SE为1(对端检测到接受包文SE为1），对端WQE成功处理完以后，对端硬件会上报一个CQE的完成事件	codecase.sh	codecase13	off	
#N/A		ST-ROCE-15		每个wr支持的最大SGE的RDMA操作混合测试，操作类型混合，支持的最大SGE为2	codecase.sh	codecase14	off	
#N/A		ST-ROCE-16		使用一个socket，遍历所有的QP，进行必要的post recv，同步后遍历所有的QP进行post send和poll cq	codecase.sh	codecase15	off	
#N/A		ST-ROCE-17		环回和对接功能测试	codecase.sh	codecase16	off	
#N/A		ST-ROCE-18		超时重传，丢包重传，RNR重传混合混合测试，sever端与client不同步	codecase.sh	codecase17	off	
#N/A		ST-ROCE-19		roce丢包测试，设置丢包，用户态进程执行	codecase.sh	codecase18	off	
#N/A		ST-ROCE-20		roce反压测试，设置反压，用户态进程执行	codecase.sh	codecase19	off	
#N/A		ST-ROCE-21		tsp反压测试，设置反压，用户态进进程执行	codecase.sh	codecase20	off	
#N/A		ST-ROCE-22		RDMA操作类型opcode混合测试，比较数据	codecase.sh	codecase21	off	
#N/A		ST-ROCE-23		RDMA send操作测试，混合包长、compare数据、单向发送数据	codecase.sh	codecase22	off	
#N/A		ST-ROCE-24		带立即数的RDMA send操作测试，混合包长、compare数据、单向发送数据	codecase.sh	codecase23	off	
#N/A		ST-ROCE-25		RDMA write操作测试，混合包长、compare数据、单向发送数据	codecase.sh	codecase24	off	
#N/A		ST-ROCE-26		带立即数的RDMA write操作测试，混合包长、compare数据、单向发送数据	codecase.sh	codecase25	off	
#N/A		ST-ROCE-27		使用一个socket，遍历所有的QP，根据不同的mtu、sq_sig_all、send_flag和包长，send操作测试，compare接收数据	codecase.sh	codecase26	off	
#N/A		ST-ROCE-28		使用一个socket，遍历所有的QP，根据不同的mtu、sq_sig_all、send_flag和包长，进行带立即数的send操作测试，compare接收数据	codecase.sh	codecase27	off	
#N/A		ST-ROCE-29		使用一个socket，遍历所有的QP，根据不同的mtu、sq_sig_all、send_flag和包长，进行rdma_write操作测试，compare接收数据	codecase.sh	codecase28	off	
#N/A		ST-ROCE-30		使用一个socket，遍历所有的QP，根据不同的mtu、sq_sig_all、send_flag和包长，进行带立即数的rdma_write操作测试，compare接收数据	codecase.sh	codecase29	off	
#N/A		ST-ROCE-31		使用一个socket，遍历4个QP，opcode为IBV_WR_SEND，根据两种请求通知机制进行接收，compare接收数据	codecase.sh	codecase30	off	
#N/A		ST-ROCE-32		使用一个socket，遍历4个QP，带立即数的发送操作，根据两种请求通知机制进行接收，compare接收数据	codecase.sh	codecase31	off	
#N/A		ST-ROCE-33		使用一个socket，遍历4个QP，opcode为IBV_WR_RDMA_READ，根据2种请求通知机制进行发送，compare数据	codecase.sh	codecase32	off	
#N/A		ST-ROCE-34		使用一个socket，遍历4个QP，opcode为IBV_WR_RDMA_WRITED，根据2种请求通知机制进行发送，compare数据	codecase.sh	codecase33	off	
#N/A		ST-ROCE-35		使用一个socket，遍历4个QP，opcode为IBV_WR_RDMA_WRITED_WITH_IMM，根据2种请求通知机制进行发送，compare接收数据	codecase.sh	codecase34	off	
#N/A		ST-ROCE-36		client设置反压，server端发送2个msg，第三个msg产生sq_sge（key）错误，检查server端产生的cqe.	codecase.sh	codecase35	off	
#N/A		ST-ROCE-37		server端发送1个msg，3个wr，2个wr正常，第3个wr产生sq_sge（key）错误，检查server端产生的cqe.	codecase.sh	codecase36	off	
#N/A		ST-ROCE-38		S/C端分别创建2个QP，S端传递recv_wr，C端为传递send_wr，两次传递的数据包长不同	codecase.sh	codecase37	off	
