PING 192.168.1.20 (192.168.1.20) 56(84) bytes of data.
64 bytes from 192.168.1.20: icmp_seq=1 ttl=64 time=0.103 ms
64 bytes from 192.168.1.20: icmp_seq=2 ttl=64 time=0.065 ms
64 bytes from 192.168.1.20: icmp_seq=3 ttl=64 time=0.046 ms
64 bytes from 192.168.1.20: icmp_seq=4 ttl=64 time=0.046 ms
64 bytes from 192.168.1.20: icmp_seq=5 ttl=64 time=0.043 ms
64 bytes from 192.168.1.20: icmp_seq=6 ttl=64 time=0.045 ms
64 bytes from 192.168.1.20: icmp_seq=7 ttl=64 time=0.045 ms
64 bytes from 192.168.1.20: icmp_seq=8 ttl=64 time=0.045 ms
64 bytes from 192.168.1.20: icmp_seq=9 ttl=64 time=0.041 ms
64 bytes from 192.168.1.20: icmp_seq=10 ttl=64 time=0.047 ms
64 bytes from 192.168.1.20: icmp_seq=11 ttl=64 time=0.070 ms
